Label,Region,Total Weight,Mediator Mass (GeV),Mediator Width (GeV),DM Mass (GeV),gAx,gVx,gAq,gVq
Run 15,EM9,0.0015692852526315788,700.69,22.30238,299.82,1.0,0.0,0.25,0.0
Run 15,EM10,0.0005230950842105263,700.69,22.30238,299.82,1.0,0.0,0.25,0.0
Run 15,EM11,0.0005230950842105263,700.69,22.30238,299.82,1.0,0.0,0.25,0.0
Run 15,EM12,0.00017436502807017542,700.69,22.30238,299.82,1.0,0.0,0.25,0.0
Run 16,EM0,0.011784783605263267,1501.5,53.79738,588.03,1.0,0.0,0.25,0.0
Run 16,EM1,0.007348870186666695,1501.5,53.79738,588.03,1.0,0.0,0.25,0.0
Run 16,EM2,0.005451217852280695,1501.5,53.79738,588.03,1.0,0.0,0.25,0.0
Run 16,EM3,0.003674435093333303,1501.5,53.79738,588.03,1.0,0.0,0.25,0.0
Run 16,EM4,0.004387565588421027,1501.5,53.79738,588.03,1.0,0.0,0.25,0.0
Run 16,EM5,0.002308608890877187,1501.5,53.79738,588.03,1.0,0.0,0.25,0.0
Run 16,EM6,0.0014141740326315791,1501.5,53.79738,588.03,1.0,0.0,0.25,0.0
Run 16,EM7,0.0011120000940350878,1501.5,53.79738,588.03,1.0,0.0,0.25,0.0
Run 16,EM8,0.00043513047157894743,1501.5,53.79738,588.03,1.0,0.0,0.25,0.0
Run 16,EM9,0.00030217393859649125,1501.5,53.79738,588.03,1.0,0.0,0.25,0.0
Run 16,EM10,0.00025382610842105265,1501.5,53.79738,588.03,1.0,0.0,0.25,0.0
Run 16,EM11,0.0001450434905263158,1501.5,53.79738,588.03,1.0,0.0,0.25,0.0
Run 16,EM12,6.0434787719298255e-05,1501.5,53.79738,588.03,1.0,0.0,0.25,0.0
Run 17,EM0,0.008433767320000096,1759.0,71.18084,588.03,1.0,0.0,0.25,0.0
Run 17,EM1,0.005901026050526411,1759.0,71.18084,588.03,1.0,0.0,0.25,0.0
Run 17,EM2,0.003934017367017591,1759.0,71.18084,588.03,1.0,0.0,0.25,0.0
Run 17,EM3,0.002767737882105282,1759.0,71.18084,588.03,1.0,0.0,0.25,0.0
Run 17,EM4,0.003037548807719324,1759.0,71.18084,588.03,1.0,0.0,0.25,0.0
Run 17,EM5,0.0017581228056140345,1759.0,71.18084,588.03,1.0,0.0,0.25,0.0
Run 17,EM6,0.0011575759066666663,1759.0,71.18084,588.03,1.0,0.0,0.25,0.0
Run 17,EM7,0.000548325429473684,1759.0,71.18084,588.03,1.0,0.0,0.25,0.0
Run 17,EM8,0.0004351789122807016,1759.0,71.18084,588.03,1.0,0.0,0.25,0.0
Run 17,EM9,0.0002349966126315789,1759.0,71.18084,588.03,1.0,0.0,0.25,0.0
Run 17,EM10,0.00017407156491228067,1759.0,71.18084,588.03,1.0,0.0,0.25,0.0
Run 17,EM11,0.00017407156491228067,1759.0,71.18084,588.03,1.0,0.0,0.25,0.0
Run 17,EM12,6.962862596491229e-05,1759.0,71.18084,588.03,1.0,0.0,0.25,0.0
Run 18,EM0,0.020620991154035026,1501.5,64.64508,450.11,1.0,0.0,0.25,0.0
Run 18,EM1,0.014167424902456293,1501.5,64.64508,450.11,1.0,0.0,0.25,0.0
Run 18,EM2,0.008583025822807011,1501.5,64.64508,450.11,1.0,0.0,0.25,0.0
Run 18,EM3,0.007105441630526295,1501.5,64.64508,450.11,1.0,0.0,0.25,0.0
Run 18,EM4,0.007387920961403485,1501.5,64.64508,450.11,1.0,0.0,0.25,0.0
Run 18,EM5,0.003998168990877207,1501.5,64.64508,450.11,1.0,0.0,0.25,0.0
Run 18,EM6,0.0025640431571929863,1501.5,64.64508,450.11,1.0,0.0,0.25,0.0
Run 18,EM7,0.001412396654385964,1501.5,64.64508,450.11,1.0,0.0,0.25,0.0
Run 18,EM8,0.0011081881442105259,1501.5,64.64508,450.11,1.0,0.0,0.25,0.0
Run 18,EM9,0.00047804194456140377,1501.5,64.64508,450.11,1.0,0.0,0.25,0.0
Run 18,EM10,0.0003693960480701756,1501.5,64.64508,450.11,1.0,0.0,0.25,0.0
Run 18,EM11,0.00034766686877192994,1501.5,64.64508,450.11,1.0,0.0,0.25,0.0
Run 18,EM12,0.00023902097228070175,1501.5,64.64508,450.11,1.0,0.0,0.25,0.0
Run 19,EM0,0.0246921586736837,1000.1,31.18145,450.11,1.0,0.0,0.25,0.0
Run 19,EM1,0.015212640286315816,1000.1,31.18145,450.11,1.0,0.0,0.25,0.0
Run 19,EM2,0.010501262884210544,1000.1,31.18145,450.11,1.0,0.0,0.25,0.0
Run 19,EM3,0.007152211477894749,1000.1,31.18145,450.11,1.0,0.0,0.25,0.0
Run 19,EM4,0.009195700471578963,1000.1,31.18145,450.11,1.0,0.0,0.25,0.0
Run 19,EM5,0.005193867858947377,1000.1,31.18145,450.11,1.0,0.0,0.25,0.0
Run 19,EM6,0.0023840704926315825,1000.1,31.18145,450.11,1.0,0.0,0.25,0.0
Run 19,EM7,0.0013907077873684228,1000.1,31.18145,450.11,1.0,0.0,0.25,0.0
Run 19,EM8,0.0009933627052631589,1000.1,31.18145,450.11,1.0,0.0,0.25,0.0
Run 19,EM9,0.0003973450821052632,1000.1,31.18145,450.11,1.0,0.0,0.25,0.0
Run 19,EM10,8.514537473684211e-05,1000.1,31.18145,450.11,1.0,0.0,0.25,0.0
Run 19,EM11,5.676358315789474e-05,1000.1,31.18145,450.11,1.0,0.0,0.25,0.0
Run 19,EM12,0.00017029074947368423,1000.1,31.18145,450.11,1.0,0.0,0.25,0.0
Run 20,EM0,0.09000756399999914,300.29,7.4676,153.87,1.0,0.0,0.25,0.0
Run 20,EM1,0.05021474623157912,300.29,7.4676,153.87,1.0,0.0,0.25,0.0
Run 20,EM2,0.02889716528421061,300.29,7.4676,153.87,1.0,0.0,0.25,0.0
Run 20,EM3,0.018633144828070214,300.29,7.4676,153.87,1.0,0.0,0.25,0.0
Run 20,EM4,0.018001512800000036,300.29,7.4676,153.87,1.0,0.0,0.25,0.0
Run 20,EM5,0.010737744477192989,300.29,7.4676,153.87,1.0,0.0,0.25,0.0
Run 20,EM6,0.0037897921684210507,300.29,7.4676,153.87,1.0,0.0,0.25,0.0
Run 20,EM7,0.0017369880771929825,300.29,7.4676,153.87,1.0,0.0,0.25,0.0
Run 20,EM8,0.001105356049122807,300.29,7.4676,153.87,1.0,0.0,0.25,0.0
Run 20,EM9,0.00015790800701754386,300.29,7.4676,153.87,1.0,0.0,0.25,0.0
Run 20,EM10,0.00015790800701754386,300.29,7.4676,153.87,1.0,0.0,0.25,0.0
Run 20,EM11,0.00015790800701754386,300.29,7.4676,153.87,1.0,0.0,0.25,0.0
Run 20,EM12,0.0,300.29,7.4676,153.87,1.0,0.0,0.25,0.0
Run 21,EM0,0.00015356244940350767,300.29,7.4676,588.03,1.0,0.0,0.25,0.0
Run 21,EM1,9.530370571228149e-05,300.29,7.4676,588.03,1.0,0.0,0.25,0.0
Run 21,EM2,6.949888174035131e-05,300.29,7.4676,588.03,1.0,0.0,0.25,0.0
Run 21,EM3,4.844341187368436e-05,300.29,7.4676,588.03,1.0,0.0,0.25,0.0
Run 21,EM4,6.395796861754422e-05,300.29,7.4676,588.03,1.0,0.0,0.25,0.0
Run 21,EM5,2.8337812828070093e-05,300.29,7.4676,588.03,1.0,0.0,0.25,0.0
Run 21,EM6,2.0263910849122786e-05,300.29,7.4676,588.03,1.0,0.0,0.25,0.0
Run 21,EM7,1.3614815101754396e-05,300.29,7.4676,588.03,1.0,0.0,0.25,0.0
Run 21,EM8,6.965719354385959e-06,300.29,7.4676,588.03,1.0,0.0,0.25,0.0
Run 21,EM9,6.015848533333329e-06,300.29,7.4676,588.03,1.0,0.0,0.25,0.0
Run 21,EM10,3.324547873684211e-06,300.29,7.4676,588.03,1.0,0.0,0.25,0.0
Run 21,EM11,2.058053445614035e-06,300.29,7.4676,588.03,1.0,0.0,0.25,0.0
Run 21,EM12,1.5831180350877194e-06,300.29,7.4676,588.03,1.0,0.0,0.25,0.0
Run 22,EM0,0.0006624157151929941,464.262,12.24455,450.11,1.0,0.0,0.25,0.0
Run 22,EM1,0.0004177148006315834,464.262,12.24455,450.11,1.0,0.0,0.25,0.0
Run 22,EM2,0.00029088390407017617,464.262,12.24455,450.11,1.0,0.0,0.25,0.0
Run 22,EM3,0.00018335336133333332,464.262,12.24455,450.11,1.0,0.0,0.25,0.0
Run 22,EM4,0.0002460795112631573,464.262,12.24455,450.11,1.0,0.0,0.25,0.0
Run 22,EM5,0.00012407370315789532,464.262,12.24455,450.11,1.0,0.0,0.25,0.0
Run 22,EM6,7.237632684210537e-05,464.262,12.24455,450.11,1.0,0.0,0.25,0.0
Run 22,EM7,5.100807796491228e-05,464.262,12.24455,450.11,1.0,0.0,0.25,0.0
Run 22,EM8,2.550403898245614e-05,464.262,12.24455,450.11,1.0,0.0,0.25,0.0
