Signal Region,Sigma_95_exp (pb),Sigma_95_obs (pb),Efficiency,Stat,Sigma_theoretical (pb),SAF File,mMed (GeV),mchi (GeV),Signal Strength Obs,Signal Strength Exp,Status Obs,Status Exp
EM0,329.6948465,369.3054653,0.0011113,1e-07,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,37.894808809914466,42.447615267774594,Included,Included
EM1,320.467417,313.3964784,0.0003993,1e-07,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,44.6551284540535,43.66983742375282,Included,Included
EM2,192.617756,191.6231723,0.0002584,1e-07,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,73.03271223424997,72.65560709782123,Included,Included
EM3,156.0648171,188.6624743,0.0001484,0.0,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,74.1788214743031,89.67274149325229,Included,Included
EM4,237.3604176,333.223497,7.41e-05,0.0,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,41.99811875811387,58.95995693597061,Included,Included
EM5,162.616463,198.4999479,3.78e-05,0.0,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,70.50258777423085,86.05992125163858,Included,Included
EM6,-1.0,-1.0,0.0,0.0,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,-13994.76,-13994.76,Excluded,Excluded
EM7,37.2303959,54.2874246,3.85e-05,0.0,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,257.7900886460545,375.89608333979606,Included,Included
EM8,20.9592909,23.9382956,3.87e-05,0.0,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,584.6180627830496,667.7115207175258,Included,Included
EM9,-1.0,-1.0,0.0,0.0,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,-13994.76,-13994.76,Excluded,Excluded
EM10,-1.0,-1.0,0.0,0.0,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,-13994.76,-13994.76,Excluded,Excluded
EM11,5.5209029,6.23456,3.97e-05,0.0,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,2244.7069239850125,2534.8679832786047,Included,Included
EM12,-1.0,-1.0,0.0,0.0,13994.76,spin1_run_06_mzp_55_mx_20,55.0,20.0,-13994.76,-13994.76,Excluded,Excluded
