Run,MY1,Mchi,Omegah2,xsi,x_f,sigmav_xf
189,32.964,233.42,1e-06,9e-06,33.0,0.0
190,32.964,236.91,1e-06,8e-06,33.0,0.0
191,32.964,237.44,1e-06,8e-06,33.0,0.0
192,32.964,327.73,1e-06,6e-06,34.0,0.0
193,32.964,450.11,1e-06,5e-06,35.0,0.0
194,32.964,515.03,1e-06,4e-06,35.0,0.0
195,32.964,588.03,0.0,4e-06,35.0,0.0
196,32.964,586.41,0.0,4e-06,35.0,0.0
197,32.964,585.58,0.0,4e-06,35.0,0.0
198,32.964,583.12,0.0,4e-06,35.0,0.0
199,32.964,582.92,0.0,4e-06,35.0,0.0
200,32.964,580.67,0.0,4e-06,35.0,0.0
201,32.964,579.42,0.0,4e-06,35.0,0.0
202,32.964,578.21,0.0,4e-06,35.0,0.0
203,32.964,575.93,0.0,4e-06,35.0,0.0
204,32.964,575.76,0.0,4e-06,35.0,0.0
205,32.964,573.33,0.0,4e-06,35.0,0.0
206,32.964,572.43,0.0,4e-06,35.0,0.0
207,32.964,571.02,0.0,4e-06,35.0,0.0
208,32.964,568.94,0.0,4e-06,35.0,0.0
209,32.964,568.87,0.0,4e-06,35.0,0.0
210,32.964,567.35,0.0,4e-06,35.0,0.0
211,32.964,565.86,0.0,4e-06,35.0,0.0
212,32.964,565.44,0.0,4e-06,35.0,0.0
213,32.964,564.37,0.0,4e-06,35.0,0.0
214,32.964,562.88,0.0,4e-06,35.0,0.0
215,32.964,561.95,0.0,4e-06,35.0,0.0
216,32.964,558.45,0.0,4e-06,35.0,0.0
217,32.964,557.76,0.0,4e-06,35.0,0.0
218,32.964,554.96,0.0,4e-06,35.0,0.0
219,32.964,551.46,1e-06,4e-06,35.0,0.0
220,32.964,549.1,1e-06,4e-06,35.0,0.0
221,32.964,547.97,1e-06,4e-06,35.0,0.0
222,32.964,544.47,1e-06,4e-06,35.0,0.0
223,32.964,540.98,1e-06,4e-06,35.0,0.0
224,32.964,537.48,1e-06,4e-06,35.0,0.0
225,32.964,533.99,1e-06,4e-06,35.0,0.0
226,32.964,531.44,1e-06,4e-06,35.0,0.0
227,32.964,530.49,1e-06,4e-06,35.0,0.0
228,32.964,527.0,1e-06,4e-06,35.0,0.0
229,32.964,523.5,1e-06,4e-06,35.0,0.0
230,32.964,453.6,1e-06,5e-06,35.0,0.0
231,32.964,451.25,1e-06,5e-06,35.0,0.0
232,32.964,450.11,1e-06,5e-06,35.0,0.0
233,32.964,446.61,1e-06,5e-06,35.0,0.0
234,32.964,443.12,1e-06,5e-06,35.0,0.0
235,32.964,299.82,1e-06,7e-06,34.0,0.0
236,32.964,264.87,1e-06,7e-06,34.0,0.0
237,32.964,121.58,1.7e-05,0.000142,30.0,0.0
238,32.964,2.7475,0.00648,0.054,20.0,0.0
239,40.03,72.91,6.3e-05,0.000522,28.0,0.0
240,40.03,76.142,6.1e-05,0.000505,28.0,0.0
241,40.03,77.744,6e-05,0.000496,28.0,0.0
242,40.03,79.637,5.8e-05,0.000486,28.0,0.0
243,40.03,81.93,5.7e-05,0.000474,28.0,0.0
244,40.03,83.132,5.6e-05,0.000467,29.0,0.0
245,40.03,86.627,5.4e-05,0.000448,29.0,0.0
246,40.03,90.122,5.2e-05,0.000429,29.0,0.0
247,40.03,92.493,5e-05,0.000416,29.0,0.0
248,40.03,93.617,4.9e-05,0.00041,29.0,0.0
249,40.03,97.112,4.7e-05,0.000392,29.0,0.0
250,40.03,98.772,4.6e-05,0.000384,29.0,0.0
251,40.03,100.61,4.5e-05,0.000375,29.0,0.0
252,40.03,102.06,4.4e-05,0.000368,29.0,0.0
253,40.03,104.1,4.3e-05,0.000358,29.0,0.0
254,40.03,105.06,4.2e-05,0.000353,29.0,0.0
255,40.03,107.6,4.1e-05,0.000342,29.0,0.0
256,40.03,108.95,4e-05,0.000336,29.0,0.0
257,40.03,111.09,3.9e-05,0.000326,29.0,0.0
258,40.03,112.83,3.8e-05,0.000319,29.0,0.0
259,40.03,114.59,3.7e-05,0.000312,29.0,0.0
260,40.03,116.75,3.6e-05,0.000303,29.0,0.0
261,40.03,118.08,3.6e-05,0.000298,29.0,0.0
262,40.03,121.58,3.4e-05,0.000285,29.0,0.0
263,40.03,124.97,3.3e-05,0.000273,30.0,0.0
264,40.03,125.07,3.3e-05,0.000272,30.0,0.0
265,40.03,128.57,3.1e-05,0.00026,30.0,0.0
266,40.03,132.06,3e-05,0.000249,30.0,0.0
267,40.03,133.19,3e-05,0.000246,30.0,0.0
268,40.03,135.56,2.9e-05,0.000239,30.0,0.0
269,40.03,139.05,2.8e-05,0.000229,30.0,0.0
270,40.03,142.55,2.6e-05,0.00022,30.0,0.0
271,40.03,144.15,2.6e-05,0.000216,30.0,0.0
272,40.03,146.04,2.5e-05,0.000211,30.0,0.0
273,40.03,149.54,2.4e-05,0.000203,30.0,0.0
274,40.03,149.89,2.4e-05,0.000202,30.0,0.0
275,40.03,153.03,2.3e-05,0.000195,30.0,0.0
276,40.03,153.87,2.3e-05,0.000193,30.0,0.0
277,40.03,156.53,2.2e-05,0.000187,30.0,0.0
278,40.03,160.02,2.2e-05,0.000179,30.0,0.0
279,40.03,161.99,2.1e-05,0.000174,30.0,0.0
280,40.03,163.52,2e-05,0.000169,30.0,0.0
281,40.03,167.01,1.8e-05,0.000148,31.0,0.0
282,40.03,170.51,1.2e-05,9.7e-05,31.0,0.0
283,40.03,171.17,1e-05,8.4e-05,31.0,0.0
284,40.03,174.0,6e-06,5e-05,31.0,0.0
