Label,sigma x BR (pb),Mediator Mass (GeV),Mediator Width (GeV),DM Mass (GeV),gAx,gAq,"BR_[-52, 52]","BR_[-5, 5]","BR_[-4, 4]","BR_[-3, 3]","BR_[-2, 2]","BR_[-1, 1]","BR_[-6, 6]",Upper limit on signal strength,xsecUL
Run 96,1.8024577,1004.6,34.89114,401.8,1.0,0.25,0.1651922,0.1432067,0.1432067,0.1432067,0.1432067,0.1432067,0.1187743,0.42,0.757032234
Run 97,310.76480000000004,304.6,14.3055,51.6,1.0,0.25,0.4704409,0.1059118,0.1059118,0.1059118,0.1059118,0.1059118,,0.02,6.215296000000001
Run 98,141.88732,403.7,21.03294,1.9,1.0,0.25,0.5090367,0.09545708,0.09545708,0.09545708,0.09545708,0.09545708,0.01367787,0.04,5.6754928
Run 99,0.191665276,2001.7,97.03935,451.5,1.0,0.25,0.3889609,0.1025917,0.1025917,0.1025917,0.1025917,0.1025917,0.0980804,1.13,0.21658176187999997
Run 100,0.01273101708,1507.0,44.39189,756.3,1.0,0.25,,0.1688372,0.1688372,0.1688372,0.1688372,0.1688372,0.1558138,20.3,0.258439646724
Run 101,0.276958376,1754.5,73.79328,550.9,1.0,0.25,0.2972572,0.1182493,0.1182493,0.1182493,0.1182493,0.1182493,0.1114963,0.96,0.26588004096
Run 102,4.9914512,1002.2,52.06774,151.8,1.0,0.25,0.4419923,0.09573611,0.09573611,0.09573611,0.09573611,0.09573611,0.07932713,0.15,0.74871768
Run 103,2.6187521,1201.7,66.67244,50.9,1.0,0.25,0.4729486,0.08964028,0.08964028,0.08964028,0.08964028,0.08964028,0.07884996,0.19,0.497562899
Run 104,12.726167999999998,205.6,5.113715,106.4,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,,0.71,9.035579279999999
Run 105,17.249473,703.7,33.5746,151.0,1.0,0.25,0.4096039,0.1042389,0.1042389,0.1042389,0.1042389,0.1042389,0.06920174,0.09,1.5524525699999998
Run 106,0.11659905599999999,2251.5,118.0807,349.9,1.0,0.25,0.4343024,0.09483315,0.09483315,0.09483315,0.09483315,0.09483315,0.0915319,1.62,0.18889047072
Run 107,1.9644007700000001,1202.7,55.92991,300.1,1.0,0.25,0.371144,0.1069513,0.1069513,0.1069513,0.1069513,0.1069513,0.0940993,0.26,0.5107442002
