#: table_doi: 10.17182/hepdata.102093.v1/t97
#: name: Table cutflows 150GeV
#: description: Cutflow of several signal benchmarks. A cut on the truth $E_\mathrm{T}^\mathrm{miss}$ at 150 GeV is applied.
#: data_file: table_cutflows_150gev.yaml
$E_\mathrm{T}^\mathrm{miss}>200$ GeV,4444.0
200 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $250 GeV,968.0
250 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $300 GeV,804.0
300 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $350 GeV,662.0
350 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $400 GeV,493.0
400 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $500 GeV,640.0
500 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $600 GeV,379.0
600 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $700 GeV,222.0
700 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $800 GeV,112.0
800 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $900 GeV,64.0
900 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1000 GeV,40.0
1000 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1100 GeV,26.0
1100 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1200 GeV,12.0
$E_\mathrm{T}^\mathrm{miss} > $1200 GeV,21.0

Cut,TT_directCC_600_593  [$\%$]
Total evts (truth $E_\mathrm{T}^\mathrm{miss}>150$ GeV),100.0
Trigger,98.15
Event cleaning,97.97
Lepton veto,94.29
$N_\mathrm{jets}\leq4$,89.46
"$\min{\Delta\Phi\left(\mathrm{jets},E_\mathrm{T}^\mathrm{miss}\right)}$ cut",84.26
Lead. Jet quality requirements,81.26
Lead. Jet $p_\mathrm{T}>150$ GeV and lead. Jet $\left|\eta\right|<2.4$,60.73
$E_\mathrm{T}^\mathrm{miss}>200$ GeV,50.17
200 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $250 GeV,10.93
250 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $300 GeV,9.08
300 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $350 GeV,7.48
350 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $400 GeV,5.57
400 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $500 GeV,7.23
500 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $600 GeV,4.28
600 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $700 GeV,2.5
700 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $800 GeV,1.27
800 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $900 GeV,0.72
900 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1000 GeV,0.45
1000 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1100 GeV,0.29
1100 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1200 GeV,0.13
$E_\mathrm{T}^\mathrm{miss} > $1200 GeV,0.24

Cut,DE_C2_M1000
Total evts (truth $E_\mathrm{T}^\mathrm{miss}>150$ GeV),102280.0
Trigger,100300.0
Event cleaning,100140.0
Lepton veto,95799.0
$N_\mathrm{jets}\leq4$,86034.0
"$\min{\Delta\Phi\left(\mathrm{jets},E_\mathrm{T}^\mathrm{miss}\right)}$ cut",78632.0
Lead. Jet quality requirements,76516.0
Lead. Jet $p_\mathrm{T}>150$ GeV and lead. Jet $\left|\eta\right|<2.4$,56942.0
$E_\mathrm{T}^\mathrm{miss}>200$ GeV,49799.0
200 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $250 GeV,8394.0
250 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $300 GeV,8282.0
300 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $350 GeV,6801.0
350 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $400 GeV,5424.0
400 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $500 GeV,7604.0
500 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $600 GeV,4711.0
600 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $700 GeV,2981.0
700 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $800 GeV,1950.0
800 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $900 GeV,1236.0
900 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1000 GeV,801.0
1000 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1100 GeV,542.0
1100 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1200 GeV,348.0
$E_\mathrm{T}^\mathrm{miss} > $1200 GeV,725.0

Cut,DE_C2_M1000  [$\%$]
Total evts (truth $E_\mathrm{T}^\mathrm{miss}>150$ GeV),100.0
Trigger,98.07
Event cleaning,97.91
Lepton veto,93.67
$N_\mathrm{jets}\leq4$,84.12
"$\min{\Delta\Phi\left(\mathrm{jets},E_\mathrm{T}^\mathrm{miss}\right)}$ cut",76.88
Lead. Jet quality requirements,74.81
Lead. Jet $p_\mathrm{T}>150$ GeV and lead. Jet $\left|\eta\right|<2.4$,55.68
$E_\mathrm{T}^\mathrm{miss}>200$ GeV,48.69
200 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $250 GeV,8.21
250 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $300 GeV,8.1
300 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $350 GeV,6.65
350 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $400 GeV,5.3
400 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $500 GeV,7.44
500 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $600 GeV,4.61
600 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $700 GeV,2.91
700 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $800 GeV,1.91
800 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $900 GeV,1.21
