Signal Region,Sigma_95_exp (pb),Sigma_95_obs (pb),Efficiency,Stat,Sigma_theoretical (pb),SAF File,mT1 (GeV),mn1 (GeV),NNLO Cross Section (pb),k_factor,Signal Strength Obs,Signal Strength Exp,Status Obs,Status Exp
IM1,6.538315,8.2154828,0.0347288,0.0001071,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,2.72108963315508,2.16558680699841,Included,Included
IM2,5.3153016,7.3190325,0.0212827,8.44e-05,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,2.424172010983348,1.760506647382015,Included,Included
IM3,4.6283183,6.8559566,0.0122635,6.44e-05,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,2.2707944114521363,1.532967599307973,Included,Included
IM4,4.2313629,6.6888434,0.0078033,5.15e-05,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,2.2154440434757867,1.4014900890921487,Included,Included
IM5,5.3510679,8.104751,0.0026948,3.03e-05,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,2.684413620268704,1.7723529758955767,Included,Included
IM6,8.0949212,11.8831015,0.0008977,1.75e-05,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,3.9358592901417286,2.681157844859377,Included,Included
IM7,28.5786004,33.5948142,0.0001261,6.6e-06,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,11.127100241435729,9.465655905033557,Included,Included
IM8,-1.0,-1.0,0.0,0.0,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,-0.33121481712006995,-0.33121481712006995,Excluded,Excluded
IM9,-1.0,-1.0,0.0,0.0,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,-0.33121481712006995,-0.33121481712006995,Excluded,Excluded
IM10,-1.0,-1.0,0.0,0.0,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,-0.33121481712006995,-0.33121481712006995,Excluded,Excluded
IM11,-1.0,-1.0,0.0,0.0,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,-0.33121481712006995,-0.33121481712006995,Excluded,Excluded
IM12,-1.0,-1.0,0.0,0.0,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,-0.33121481712006995,-0.33121481712006995,Excluded,Excluded
EM0,22.1944161,24.830239,0.016486,7.45e-05,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,8.224143069432628,7.3511194696482365,Included,Included
EM1,9.4850106,9.2916643,0.013446,6.73e-05,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,3.077536891865583,3.141576051260925,Included,Included
EM2,5.5447972,5.486971,0.0090193,5.53e-05,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,1.817366096308127,1.8365189905658756,Included,Included
EM3,5.1805217,6.302996,0.0044602,3.9e-05,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,2.087645667448532,1.7158655474520537,Included,Included
EM4,3.4244809,4.8274783,0.0051085,4.17e-05,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,1.598932342285606,1.1342388150246725,Included,Included
EM5,3.4193108,4.1724524,0.0017971,2.48e-05,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,1.381978058608197,1.13252640129868,Included,Included
EM6,3.7768906,5.2339236,0.0007716,1.62e-05,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,1.733553047994418,1.2509621293615112,Included,Included
EM7,11.369033,16.6321046,0.0001261,6.6e-06,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,5.508799483410875,3.76559218592704,Included,Included
EM8,-1.0,-1.0,0.0,0.0,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,-0.33121481712006995,-0.33121481712006995,Excluded,Excluded
EM9,-1.0,-1.0,0.0,0.0,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,-0.33121481712006995,-0.33121481712006995,Excluded,Excluded
EM10,-1.0,-1.0,0.0,0.0,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,-0.33121481712006995,-0.33121481712006995,Excluded,Excluded
EM11,-1.0,-1.0,0.0,0.0,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,-0.33121481712006995,-0.33121481712006995,Excluded,Excluded
EM12,-1.0,-1.0,0.0,0.0,2.340333,pptt1jmatch_run_05_376_300,375.9717,300.0,3.0191886,1.290067951868388,-0.33121481712006995,-0.33121481712006995,Excluded,Excluded
IM0,8.0839701,10.2364365,0.0699414,0.0001391,2.72263,pptt1jmatch_run_06_365_319,365.371,318.6404,3.521450000000001,1.2934001314905077,2.906881114313705,2.29563676894461,Included,Included
IM1,4.5931633,5.7470316,0.0494879,0.0001183,2.72263,pptt1jmatch_run_06_365_319,365.371,318.6404,3.521450000000001,1.2934001314905077,1.6320071561430656,1.3043386389129472,Included,Included
IM2,3.3086835,4.5441112,0.0343341,9.93e-05,2.72263,pptt1jmatch_run_06_365_319,365.371,318.6404,3.521450000000001,1.2934001314905077,1.2904091212426694,0.9395798605687995,Included,Excluded
